Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1,RP2,BP2,BP3,RP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,SB,VOD
Week 6,Liiv SANDBOX,T1,0 - 2,2,13.3,Jayce,Maokai,Annie,Lucian,Varus,Elise,Ashe,Caitlyn,Jhin,Ezreal,Sejuani,Lee Sin,Jax,Nidalee,Akali,LeBlanc,Gragas,Gnar,Sylas,Yasuo,Support,Bot,Jungle,Top,Mid,Support,Bot,Jungle,Mid,Top,SB,https://www.youtube.com/live/c3AeYJsgoks?feature=share&t=17821
Week 6,T1,Liiv SANDBOX,1 - 0,1,13.3,Maokai,Ashe,Annie,Elise,Karma,Caitlyn,Lucian,Zeri,Lulu,Nami,Wukong,Vi,Jayce,Akali,Viktor,Jax,Azir,Gnar,Gragas,Sylas,Bot,Support,Jungle,Top,Mid,Bot,Support,Jungle,Top,Mid,SB,https://www.youtube.com/live/c3AeYJsgoks?feature=share&t=14744
Week 6,Hanwha Life Esports,BRION,02월 01일,1,13.3,Lucian,Ashe,Elise,Maokai,Varus,Kassadin,Caitlyn,Karma,Vi,Lux,Akali,Ezreal,Sejuani,Renekton,Wukong,Jax,Ryze,Lee Sin,Gnar,Fiora,Bot,Support,Mid,Jungle,Top,Support,Jungle,Bot,Mid,Top,SB,https://www.youtube.com/live/c3AeYJsgoks?feature=share&t=9205
Week 6,BRION,Hanwha Life Esports,01월 01일,1,13.3,Ashe,Maokai,Lucian,Elise,Zeri,Sejuani,Varus,Caitlyn,Lux,Vi,Karma,Nidalee,Viktor,Jayce,Renekton,Yone,Gnar,Akali,Jax,Sylas,Bot,Jungle,Support,Mid,Top,Bot,Support,Jungle,Top,Mid,SB,https://www.youtube.com/live/c3AeYJsgoks?feature=share&t=5397
Week 6,Hanwha Life Esports,BRION,1 - 0,1,13.3,Lucian,Ashe,Elise,Maokai,Varus,Caitlyn,Zeri,Sejuani,Annie,Lulu,Vi,Xayah,Sylas,Renekton,Akali,Jax,Azir,Kassadin,Gnar,Camille,Bot,Support,Jungle,Mid,Top,Jungle,Support,Bot,Mid,Top,SB,https://www.youtube.com/live/c3AeYJsgoks?feature=share&t=1844
Week 6,Dplus KIA,KT Rolster,2 - 0,1,13.3,Maokai,Ashe,Annie,Elise,Sejuani,Lucian,Karma,Wukong,Caitlyn,Varus,Jayce,Lux,Lee Sin,Gragas,Viktor,Azir,Sion,Renekton,Nidalee,Akali,Support,Bot,Mid,Top,Jungle,Jungle,Bot,Support,Top,Mid,SB,https://www.youtube.com/live/vQWIqnseLgQ?feature=share&t=15073
Week 6,KT Rolster,Dplus KIA,0 - 1,2,13.3,Ashe,Maokai,Caitlyn,Elise,Annie,Azir,Lucian,Zeri,Lulu,Vi,Nami,Wukong,Jayce,Jax,Viktor,Kassadin,Renekton,Gragas,Taliyah,Akali,Bot,Jungle,Support,Top,Mid,Bot,Support,Jungle,Top,Mid,SB,https://www.youtube.com/live/vQWIqnseLgQ?feature=share&t=12072
Week 6,Nongshim RedForce,Gen.G,0 - 2,2,13.3,Caitlyn,Maokai,Ashe,Elise,Lucian,Annie,Wukong,Varus,Sejuani,Zeri,Lulu,Karma,Gragas,Gnar,Renekton,Jayce,Jax,K'Sante,Akali,Kassadin,Jungle,Bot,Support,Top,Mid,Bot,Jungle,Support,Top,Mid,SB,https://www.youtube.com/live/vQWIqnseLgQ?feature=share&t=5745
Week 6,Nongshim RedForce,Gen.G,0 - 1,2,13.3,Caitlyn,Maokai,Ashe,Elise,Lucian,Annie,Wukong,Varus,Sejuani,Zeri,Lulu,Karma,Gragas,Gnar,Renekton,Kassadin,Jayce,Ornn,Akali,Sylas,Jungle,Bot,Support,Top,Mid,Bot,Jungle,Support,Top,Mid,SB,https://www.youtube.com/live/vQWIqnseLgQ?feature=share&t=2729
Week 5,Dplus KIA,Liiv SANDBOX,0 - 2,2,13.3,Jayce,Lucian,Annie,Ashe,Karma,Caitlyn,Varus,Maokai,Jhin,Elise,Kalista,Heimerdinger,Renekton,Irelia,Fiora,Akali,Jax,Gnar,Azir,Yone,Bot,Jungle,Support,Top,Mid,Jungle,Bot,Support,Top,Mid,SB,https://www.youtube.com/live/762-SqJr758?feature=share&t=18339
Week 5,Dplus KIA,Liiv SANDBOX,0 - 1,2,13.3,Jayce,Lucian,Sejuani,Ashe,Karma,Caitlyn,Maokai,Annie,Varus,Sivir,Viktor,Lee Sin,Renekton,Kassadin,Heimerdinger,Kalista,Jax,Tahm Kench,Gnar,Sylas,Jungle,Bot,Mid,Support,Top,Support,Bot,Jungle,Top,Mid,SB,https://www.youtube.com/live/762-SqJr758?feature=share&t=15017
Week 5,Gen.G,T1,01월 02일,2,13.3,Elise,Maokai,Caitlyn,Lucian,Jayce,Camille,Ashe,Varus,Annie,Draven,Viktor,Wukong,Sejuani,Kassadin,Vi,Fiora,Gnar,Jax,Poppy,Jhin,Support,Bot,Mid,Top,Jungle,Bot,Mid,Jungle,Top,Support,SB,https://www.youtube.com/live/762-SqJr758?feature=share&t=8378
Week 5,T1,Gen.G,01월 01일,1,13.3,Maokai,Ashe,Karma,Caitlyn,Annie,Lucian,Varus,Zeri,Sejuani,Elise,Jayce,Lulu,Soraka,Akali,Azir,Sion,Viktor,Kassadin,Kalista,Renekton,Bot,Jungle,Top,Mid,Support,Bot,Jungle,Support,Mid,Top,SB,https://www.youtube.com/live/762-SqJr758?feature=share&t=5454
Week 5,T1,Gen.G,0 - 1,2,13.3,Maokai,Ashe,Karma,Caitlyn,Jayce,Lucian,Varus,Annie,Wukong,Sejuani,Viktor,Sylas,Renekton,Zeri,Jax,None,Gnar,Irelia,Nautilus,Draven,Bot,Jungle,Mid,Top,Support,Support,Jungle,Mid,Top,Bot,SB,https://www.youtube.com/live/762-SqJr758?feature=share&t=1800
Week 5,Nongshim RedForce,KT Rolster,0 - 2,2,13.3,Caitlyn,Maokai,Ashe,Elise,Zeri,Lucian,Varus,Karma,Sejuani,Vi,Nautilus,Ezreal,Jayce,Gnar,Renekton,Taliyah,Jax,K'Sante,Azir,Sylas,Bot,Jungle,Support,Top,Mid,Support,Jungle,Bot,Top,Mid,SB,https://www.youtube.com/live/DBwE5cWIitw?feature=share&t=19033
Week 5,Nongshim RedForce,KT Rolster,0 - 1,2,13.3,Ashe,Maokai,Caitlyn,Elise,Zeri,Lucian,Varus,Karma,Sejuani,Vi,Nautilus,Ezreal,Jayce,Gnar,Renekton,Taliyah,Jax,Azir,Gragas,Sylas,Bot,Jungle,Support,Mid,Top,Support,Jungle,Bot,Top,Mid,SB,https://www.youtube.com/live/DBwE5cWIitw?feature=share&t=15918
Week 5,Kwangdong Freecs,BRION,01월 02일,2,13.3,Elise,Maokai,Renekton,Ashe,Varus,Annie,Sejuani,Zeri,Lulu,Ezreal,Karma,Vi,Jax,Akali,Jayce,Sylas,Viktor,Azir,Fiora,Gnar,Jungle,Bot,Support,Mid,Top,Bot,Support,Jungle,Mid,Top,SB,https://www.youtube.com/live/DBwE5cWIitw?feature=share&t=9357
Week 5,BRION,Kwangdong Freecs,01월 01일,1,13.3,Wukong,Elise,Ashe,Lucian,Annie,Renekton,Maokai,Sejuani,Karma,Varus,Heimerdinger,Ezreal,Azir,Jax,Akali,Jayce,Fiora,Gnar,Viktor,Sylas,Jungle,Bot,Support,Top,Mid,Jungle,Support,Bot,Top,Mid,SB,https://www.youtube.com/live/DBwE5cWIitw?feature=share&t=5605
Week 5,Kwangdong Freecs,BRION,1 - 0,1,13.3,Elise,Maokai,Lucian,Ashe,Renekton,Annie,Sejuani,Varus,Karma,Heimerdinger,Sivir,Wukong,Jax,Akali,Viktor,Azir,Sylas,Yone,Jayce,Sion,Jungle,Support,Bot,Mid,Top,Bot,Support,Jungle,Mid,Top,SB,https://www.youtube.com/live/DBwE5cWIitw?feature=share&t=2439
Week 5,DRX,Hanwha Life Esports,0 - 2,2,13.3,Lucian,Maokai,Elise,Ashe,Kassadin,Caitlyn,Sejuani,Zeri,Lulu,Ezreal,Karma,Vi,Renekton,Akali,LeBlanc,Sylas,Azir,Jax,Viktor,Gnar,Jungle,Bot,Support,Top,Mid,Bot,Support,Jungle,Mid,Top,SB,https://www.youtube.com/live/9pfLPBjCmMI?feature=share&t=17177
Week 5,Hanwha Life Esports,DRX,1 - 0,1,13.3,Varus,Elise,Ashe,Maokai,Sejuani,Lucian,Caitlyn,Karma,Ezreal,Lux,Wukong,Vi,Akali,LeBlanc,Kassadin,Renekton,Viktor,Sylas,Jax,Gragas,Bot,Support,Jungle,Mid,Top,Support,Bot,Jungle,Mid,Top,SB,https://www.youtube.com/live/9pfLPBjCmMI?feature=share&t=13792
Week 5,Liiv SANDBOX,T1,01월 02일,2,13.3,Jayce,Maokai,Ashe,Lucian,Caitlyn,Varus,Elise,Zeri,Annie,Ezreal,Karma,Lee Sin,Irelia,Lulu,Renekton,Yasuo,Jax,Gnar,Azir,Akali,Jungle,Bot,Support,Top,Mid,Bot,Support,Jungle,Top,Mid,SB,https://www.youtube.com/live/9pfLPBjCmMI?feature=share&t=7738
Week 5,T1,Liiv SANDBOX,01월 01일,1,13.3,Maokai,Ashe,Karma,Lucian,Irelia,Elise,Caitlyn,Varus,Jayce,Sejuani,Lux,Heimerdinger,Renekton,Akali,Viktor,Sylas,Azir,Corki,Sion,Wukong,Bot,Jungle,Support,Mid,Top,Bot,Top,Support,Mid,Jungle,SB,https://www.youtube.com/live/9pfLPBjCmMI?feature=share&t=4785
Week 5,Liiv SANDBOX,T1,1 - 0,1,13.3,Jayce,Maokai,Ashe,Elise,Caitlyn,Sejuani,Lucian,Zeri,Vi,Wukong,Nami,Lulu,Sylas,Renekton,Jax,Annie,Azir,Akali,Gnar,Yasuo,Bot,Jungle,Support,Mid,Top,Bot,Jungle,Support,Mid,Top,SB,https://www.youtube.com/live/9pfLPBjCmMI?feature=share&t=1816
Week 5,Kwangdong Freecs,Gen.G,01월 02일,2,13.3,Elise,Maokai,Lucian,Ashe,Caitlyn,Annie,Sejuani,Zeri,Jayce,Ezreal,Karma,Vi,Yone,Lulu,Viktor,Azir,Leona,Renekton,Zoe,Akali,Jungle,Bot,Support,Top,Mid,Bot,Top,Jungle,Support,Mid,SB,https://www.youtube.com/live/Nq_1xevbO6E?feature=share&t=17426
Week 5,Kwangdong Freecs,Gen.G,01월 01일,1,13.3,Lucian,Ashe,Caitlyn,Maokai,Elise,Jax,Wukong,Sejuani,Jayce,Annie,Renekton,Varus,Zeri,Yone,Sivir,Sylas,Azir,Ezreal,Karma,Nautilus,Jungle,Mid,Top,Bot,Support,Jungle,Top,Bot,Mid,Support,SB,https://www.youtube.com/live/Nq_1xevbO6E?feature=share&t=13986
Week 5,Kwangdong Freecs,Gen.G,0 - 1,2,13.3,Lucian,Ashe,Elise,Maokai,Jayce,Jax,Wukong,Caitlyn,Karma,Varus,Heimerdinger,Sejuani,Sylas,Fiora,Renekton,Camille,Gnar,Annie,K'Sante,Viktor,Jungle,Bot,Support,Mid,Top,Bot,Support,Jungle,Top,Mid,SB,https://www.youtube.com/live/Nq_1xevbO6E?feature=share&t=10806
Week 5,BRION,Dplus KIA,0 - 2,2,13.3,Caitlyn,Elise,Ashe,Maokai,Zeri,Sejuani,Lucian,Lulu,Vi,Wukong,Nami,Aphelios,Gnar,LeBlanc,Viktor,Azir,Renekton,Gragas,Ryze,Taliyah,Bot,Jungle,Support,Top,Mid,Support,Jungle,Bot,Top,Mid,SB,https://www.youtube.com/live/Nq_1xevbO6E?feature=share&t=5141
Week 5,BRION,Dplus KIA,0 - 1,2,13.3,Caitlyn,Elise,Ashe,Maokai,Jayce,Gragas,Sejuani,Lucian,Nami,Zeri,Lulu,Wukong,Jax,Renekton,Camille,Gnar,Fiora,Azir,Sion,LeBlanc,Jungle,Bot,Support,Mid,Top,Bot,Support,Jungle,Top,Mid,SB,https://www.youtube.com/live/Nq_1xevbO6E?feature=share&t=1901
Week 5,Nongshim RedForce,Hanwha Life Esports,0 - 2,2,13.3,Caitlyn,Maokai,Lucian,Elise,Ashe,Sejuani,Wukong,Zeri,Lulu,Xayah,Rakan,Viego,K'Sante,Akali,Jax,Azir,Gnar,Viktor,Sion,Kassadin,Jungle,Bot,Support,Mid,Top,Bot,Support,Jungle,Top,Mid,SB,https://www.youtube.com/live/5pX347sLaMA?feature=share&t=15383
Week 5,Nongshim RedForce,Hanwha Life Esports,0 - 1,2,13.3,Caitlyn,Maokai,Lucian,Elise,Ashe,K'Sante,Sejuani,Varus,Wukong,Jayce,Ziggs,Heimerdinger,Jax,Akali,Renekton,Sylas,Azir,Leona,Gnar,Camille,Jungle,Mid,Bot,Support,Top,Bot,Jungle,Support,Mid,Top,SB,https://www.youtube.com/live/5pX347sLaMA?feature=share&t=11740
Week 5,KT Rolster,DRX,2 - 0,1,13.3,Vi,Maokai,Lee Sin,Lucian,Ashe,Sejuani,Elise,Caitlyn,Varus,Draven,Singed,Nidalee,Jayce,Renekton,Yone,LeBlanc,Ryze,Jax,Irelia,Sion,Jungle,Bot,Support,Top,Mid,Support,Bot,Jungle,Mid,Top,SB,https://www.youtube.com/live/5pX347sLaMA?feature=share&t=5730
Week 5,DRX,KT Rolster,0 - 1,2,13.3,Lucian,Maokai,Varus,Ashe,Caitlyn,Elise,Sejuani,Wukong,Zeri,Draven,Renekton,Lulu,Nautilus,Jayce,Leona,Akali,Gragas,Azir,Annie,Taliyah,Jungle,Bot,Top,Mid,Support,Jungle,Bot,Support,Top,Mid,SB,https://www.youtube.com/live/5pX347sLaMA?feature=share&t=2743
Week 4,DRX,T1,0 - 2,2,13.1B,Lucian,Maokai,Jayce,Elise,None,Sejuani,Ashe,Caitlyn,Varus,Jhin,Wukong,Azir,Kassadin,Vi,LeBlanc,Poppy,Nidalee,Renekton,Sylas,Sion,Support,Bot,Jungle,Top,Mid,Support,Bot,Mid,Jungle,Top,SB,https://www.youtube.com/live/96iS84vTy2U?feature=share&t=14830
Week 4,T1,DRX,1 - 0,1,13.1B,Maokai,Elise,Kassadin,Ashe,Zeri,Lucian,Caitlyn,Varus,Karma,Sejuani,Lux,Vi,Jayce,Jax,Sylas,Azir,K'Sante,Viktor,Fiora,Akali,Bot,Jungle,Support,Mid,Top,Bot,Support,Jungle,Top,Mid,SB,https://www.youtube.com/live/96iS84vTy2U?feature=share&t=11423
Week 4,Hanwha Life Esports,Dplus KIA,0 - 2,2,13.1B,Caitlyn,Elise,Ashe,Maokai,Jayce,Sylas,Sejuani,Nami,Lucian,Zeri,Lulu,Wukong,Yone,Kassadin,Akali,LeBlanc,Renekton,Azir,Gragas,Viktor,Jungle,Bot,Support,Mid,Top,Support,Bot,Jungle,Top,Mid,SB,https://www.youtube.com/live/96iS84vTy2U?feature=share&t=5547
Week 4,Dplus KIA,Hanwha Life Esports,1 - 0,1,13.1B,Kassadin,Elise,Sylas,Ashe,Vi,Jayce,Maokai,Lucian,Nami,Caitlyn,Lux,Sejuani,Ryze,Yone,Gnar,Ornn,K'Sante,Azir,Renekton,Corki,Jungle,Bot,Support,Mid,Top,Bot,Support,Jungle,Top,Mid,SB,https://www.youtube.com/live/96iS84vTy2U?feature=share&t=1953
Week 4,KT Rolster,Gen.G,02월 01일,1,13.1B,Kassadin,Maokai,Ashe,Elise,Vi,Caitlyn,Sejuani,Lucian,Nami,Zeri,Lulu,Wukong,Yone,LeBlanc,Jax,Gwen,Gnar,Azir,Jayce,Sylas,Jungle,Bot,Support,Mid,Top,Bot,Support,Jungle,Top,Mid,SB,https://www.youtube.com/live/EYZv-uDil_g?feature=share&t=17793
Week 4,Gen.G,KT Rolster,01월 01일,2,13.1B,Karma,Ashe,Maokai,Elise,Caitlyn,Vi,Lucian,Sejuani,Nami,Wukong,Yuumi,Draven,K'Sante,Yone,Jayce,Jax,Gnar,Ryze,Camille,Kassadin,Bot,Jungle,Support,Mid,Top,Jungle,Support,Bot,Top,Mid,SB,https://www.youtube.com/live/EYZv-uDil_g?feature=share&t=14420
Week 4,KT Rolster,Gen.G,0 - 1,2,13.1B,Kassadin,Maokai,Ashe,Elise,K'Sante,Caitlyn,Nami,Zeri,Vi,Wukong,Lucian,Lulu,Jax,Jayce,Azir,Akali,Gnar,Camille,Ryze,Viktor,Support,Jungle,Bot,Top,Mid,Bot,Jungle,Support,Top,Mid,SB,https://www.youtube.com/live/EYZv-uDil_g?feature=share&t=11446
Week 4,Nongshim RedForce,Kwangdong Freecs,0 - 2,2,13.1B,Ashe,Varus,Caitlyn,Jayce,Lulu,Lucian,Maokai,Sejuani,K'Sante,Aphelios,Sion,Azir,Kassadin,Karma,Akali,Renata Glasc,Ezreal,Nautilus,Sylas,Braum,Jungle,Bot,Top,Support,Mid,Jungle,Top,Mid,Bot,Support,SB,https://www.youtube.com/live/EYZv-uDil_g?feature=share&t=5675
Week 4,Kwangdong Freecs,Nongshim RedForce,1 - 0,1,13.1B,K'Sante,Ashe,Jayce,Caitlyn,Elise,Sejuani,Maokai,Lucian,Nami,Zeri,Lulu,Vi,Renekton,Sylas,Viktor,None,Jax,Azir,Fiora,Kassadin,Jungle,Bot,Support,Mid,Top,Bot,Support,Jungle,Top,Mid,SB,https://www.youtube.com/live/EYZv-uDil_g?feature=share&t=2537
Week 4,Liiv SANDBOX,DRX,02월 01일,1,13.1B,Renekton,Maokai,Kassadin,Ashe,Elise,Caitlyn,Lucian,Nami,Vi,Wukong,Sona,Zeri,Akali,Jayce,Sylas,Jax,K'Sante,Azir,Gnar,LeBlanc,Bot,Jungle,Support,Mid,Top,Support,Jungle,Bot,Top,Mid,SB,https://www.youtube.com/live/0p7cbH0_dDU?feature=share&t=20223
Week 4,DRX,Liiv SANDBOX,01월 01일,1,13.1B,Caitlyn,Renekton,Lucian,Draven,Ashe,Varus,Maokai,Elise,Jayce,Zeri,Lulu,Aphelios,K'Sante,Kassadin,Tryndamere,Renata Glasc,Nautilus,Sion,Azir,Yone,Jungle,Bot,Support,Top,Mid,Jungle,Mid,Bot,Support,Top,SB,https://www.youtube.com/live/0p7cbH0_dDU?feature=share&t=17160
Week 4,DRX,Liiv SANDBOX,0 - 1,2,13.1B,Caitlyn,Renekton,Varus,Ashe,Elise,Maokai,Zeri,Nami,Sejuani,Vi,Lulu,Lucian,Ryze,Akali,K'Sante,Sylas,Azir,Gnar,LeBlanc,Jayce,Bot,Jungle,Support,Top,Mid,Support,Jungle,Bot,Mid,Top,SB,https://www.youtube.com/live/0p7cbH0_dDU?feature=share&t=14071
Week 4,BRION,Hanwha Life Esports,01월 02일,2,13.1B,Kassadin,Maokai,Ashe,Elise,Wukong,Caitlyn,Vi,Lucian,Nami,Zeri,Lulu,Sejuani,Renekton,Sylas,Ryze,Akali,Azir,Viktor,K'Sante,Gnar,Jungle,Bot,Support,Mid,Top,Bot,Support,Jungle,Mid,Top,SB,https://www.youtube.com/live/0p7cbH0_dDU?feature=share&t=8677
Week 4,BRION,Hanwha Life Esports,01월 01일,1,13.1B,Kassadin,Maokai,Ashe,Elise,Wukong,Caitlyn,Vi,Zeri,Sejuani,Lucian,Nami,Lulu,Renekton,Sylas,Viktor,Ornn,Azir,K'Sante,Akali,Sion,Jungle,Bot,Support,Top,Mid,Bot,Jungle,Support,Mid,Top,SB,https://www.youtube.com/live/0p7cbH0_dDU?feature=share&t=5098
Week 4,BRION,Hanwha Life Esports,0 - 1,2,13.1B,Sylas,Maokai,Kassadin,Elise,Ashe,Caitlyn,Lucian,Zeri,Vi,Wukong,Nami,Lulu,Renekton,Akali,Ryze,Ornn,Azir,Viktor,K'Sante,Sion,Bot,Jungle,Support,Mid,Top,Bot,Jungle,Support,Mid,Top,SB,https://www.youtube.com/live/0p7cbH0_dDU?feature=share&t=1850
Week 4,Nongshim RedForce,Gen.G,0 - 2,2,13.1B,Ashe,Varus,Caitlyn,K'Sante,Lulu,Lucian,Maokai,Draven,Elise,Aphelios,Jayce,Tristana,Akali,Renekton,Jax,Renata Glasc,Camille,Syndra,Leona,Rakan,Jungle,Bot,Top,Mid,Support,Bot,Jungle,Mid,Top,Support,SB,https://www.youtube.com/live/_X5qxF8-QH0?feature=share&t=17990
Week 4,Gen.G,Nongshim RedForce,1 - 0,1,13.1B,Varus,Lucian,Elise,Maokai,Jhin,Caitlyn,Ashe,K'Sante,Sejuani,Wukong,Sivir,Aphelios,Gnar,Kassadin,Sylas,Akali,Alistar,Gwen,Azir,Yone,Support,Jungle,Bot,Top,Mid,Top,Jungle,Bot,Support,Mid,SB,https://www.youtube.com/live/_X5qxF8-QH0?feature=share&t=14751
Week 4,Dplus KIA,KT Rolster,01월 02일,2,13.1B,Azir,Elise,Jayce,Ashe,Varus,Maokai,Caitlyn,Sejuani,Karma,Vi,Lux,Ezreal,K'Sante,Kassadin,Ryze,Renekton,Jax,Gnar,Sylas,Yone,Bot,Jungle,Support,Top,Mid,Jungle,Support,Bot,Top,Mid,SB,https://www.youtube.com/live/_X5qxF8-QH0?feature=share&t=8860
Week 4,KT Rolster,Dplus KIA,01월 01일,1,13.1B,Ashe,Azir,Caitlyn,Elise,Lucian,Renekton,Maokai,Jayce,Sejuani,Karma,Varus,Sylas,Kassadin,Sivir,K'Sante,Nautilus,Ziggs,Sion,Yone,Pyke,Jungle,Support,Bot,Top,Mid,Top,Jungle,Mid,Bot,Support,SB,https://www.youtube.com/live/_X5qxF8-QH0?feature=share&t=5555
Week 4,Dplus KIA,KT Rolster,1 - 0,1,13.1B,Azir,Lucian,Jayce,Elise,Kassadin,Maokai,Ashe,Sejuani,Varus,Caitlyn,Vi,Karma,K'Sante,Renekton,Akali,Sylas,Ryze,Viktor,Jax,Gnar,Support,Bot,Jungle,Mid,Top,Jungle,Bot,Support,Mid,Top,SB,https://www.youtube.com/live/_X5qxF8-QH0?feature=share&t=1920
Week 4,BRION,T1,0 - 2,2,13.1B,Ashe,Maokai,Caitlyn,Elise,Kassadin,Sylas,Lucian,Vi,Nami,Wukong,Sona,Zeri,Renekton,Jayce,Gnar,K'Sante,Azir,Akali,Jax,Gragas,Bot,Jungle,Support,Mid,Top,Jungle,Support,Bot,Mid,Top,SB,https://www.youtube.com/live/A8TNdPNx7JI?feature=share&t=18648
Week 4,T1,BRION,1 - 0,1,13.1B,Maokai,Caitlyn,Kassadin,Jayce,Zeri,Elise,Ashe,Varus,Wukong,Sejuani,Sivir,Karma,Jax,K'Sante,Fiora,Akali,Azir,Viktor,Gnar,Renekton,Support,Jungle,Bot,Mid,Top,Bot,Jungle,Support,Mid,Top,SB,https://www.youtube.com/live/A8TNdPNx7JI?feature=share&t=15324
Week 4,Liiv SANDBOX,Kwangdong Freecs,02월 01일,1,13.1B,Ashe,Elise,Caitlyn,Vi,Sejuani,Varus,Maokai,Zeri,Lulu,Lucian,Nami,K'Sante,Renekton,Kassadin,Jayce,Wukong,Viego,Azir,Gnar,Sylas,Jungle,Bot,Support,Mid,Top,Bot,Support,Top,Jungle,Mid,SB,https://www.youtube.com/live/A8TNdPNx7JI?feature=share&t=9559
Week 4,Kwangdong Freecs,Liiv SANDBOX,01월 01일,2,13.1B,Vi,K'Sante,Sylas,Ashe,Elise,Renekton,Varus,Maokai,Caitlyn,Sejuani,Jhin,Lux,Jax,Irelia,Fiora,Kassadin,Jayce,Gnar,Akali,Azir,Bot,Jungle,Support,Top,Mid,Jungle,Bot,Support,Top,Mid,SB,https://www.youtube.com/live/A8TNdPNx7JI?feature=share&t=6337
Week 4,Liiv SANDBOX,Kwangdong Freecs,0 - 1,2,13.1B,Maokai,Elise,Lulu,Lucian,Varus,Vi,Caitlyn,Ashe,Sejuani,Wukong,Karma,Jhin,Renekton,Kassadin,Sylas,K'Sante,Jax,Gnar,Akali,Azir,Bot,Jungle,Support,Top,Mid,Support,Jungle,Bot,Top,Mid,SB,https://www.youtube.com/live/A8TNdPNx7JI?feature=share&t=2720
Week 3,Dplus KIA,Kwangdong Freecs,02월 01일,1,13.1,Yuumi,Lucian,Ashe,Jayce,Varus,Elise,Caitlyn,Jhin,Maokai,Sejuani,Heimerdinger,Karma,Sylas,K'Sante,Fiora,Kassadin,Jax,Renekton,Akali,Swain,Bot,Jungle,Support,Top,Mid,Bot,Jungle,Support,Top,Mid,SB,https://www.youtube.com/live/5zZZs4Yw9cc?feature=share&t=18515
Week 3,Kwangdong Freecs,Dplus KIA,01월 01일,1,13.1,Lucian,Yuumi,Caitlyn,Elise,Jayce,Heimerdinger,Ashe,Varus,Maokai,Sejuani,K'Sante,Karma,Sivir,Kassadin,Draven,Renekton,Gnar,Sylas,Jhin,LeBlanc,Support,Jungle,Top,Mid,Bot,Bot,Jungle,Support,Top,Mid,SB,https://www.youtube.com/live/5zZZs4Yw9cc?feature=share&t=14900
Week 3,Kwangdong Freecs,Dplus KIA,0 - 1,2,13.1,Lucian,Elise,Caitlyn,Yuumi,Ashe,Varus,Zeri,Maokai,Draven,Sejuani,Lulu,Jayce,K'Sante,Kassadin,Renekton,Pyke,Heimerdinger,Sylas,Camille,Fiora,Bot,Jungle,Support,Mid,Top,Jungle,Bot,Mid,Support,Top,SB,https://www.youtube.com/live/5zZZs4Yw9cc?feature=share&t=11468
Week 3,KT Rolster,BRION,2 - 0,1,13.1,Varus,Caitlyn,Elise,Yuumi,Lucian,Zeri,Maokai,Heimerdinger,Ashe,Karma,Ezreal,Kassadin,Jax,Wukong,Jayce,Sejuani,K'Sante,Yone,Camille,Vi,Jungle,Support,Bot,Mid,Top,Support,Bot,Mid,Top,Jungle,SB,https://www.youtube.com/live/5zZZs4Yw9cc?feature=share&t=5786
Week 3,BRION,KT Rolster,0 - 1,2,13.1,Caitlyn,Lucian,Kassadin,Maokai,Ashe,Akali,Elise,Zeri,Yuumi,Varus,Heimerdinger,Wukong,Renekton,K'Sante,Jax,Azir,Ryze,Viktor,Gnar,Jayce,Jungle,Bot,Support,Mid,Top,Bot,Support,Jungle,Mid,Top,SB,https://www.youtube.com/live/5zZZs4Yw9cc?feature=share&t=1980
Week 3,T1,Nongshim RedForce,02월 01일,1,13.1,Maokai,Caitlyn,Kassadin,Varus,K'Sante,Elise,Nami,Yuumi,Wukong,Vi,Lucian,Zeri,Ryze,Jax,Gnar,Akali,Sylas,Azir,Jayce,Sion,Support,Jungle,Bot,Mid,Top,Support,Jungle,Bot,Mid,Top,SB,https://www.youtube.com/live/mplNK2cuJ5Q?feature=share&t=21993
Week 3,Nongshim RedForce,T1,01월 01일,1,13.1,Ashe,Lucian,Caitlyn,Yuumi,Kassadin,Heimerdinger,Varus,Jayce,Sejuani,Maokai,K'Sante,Azir,Akali,Draven,Sylas,Kalista,Ezreal,Karma,LeBlanc,Twitch,Bot,Jungle,Top,Support,Mid,Top,Jungle,Mid,Bot,Support,SB,https://www.youtube.com/live/mplNK2cuJ5Q?feature=share&t=18623
Week 3,T1,Nongshim RedForce,1 - 0,1,13.1,K'Sante,Caitlyn,Kassadin,Varus,Yuumi,Lucian,Ashe,Jayce,Elise,Sejuani,Zeri,Nautilus,Azir,Samira,Ryze,Akali,Aphelios,Viktor,Renekton,Sylas,Support,Jungle,Bot,Mid,Top,Top,Jungle,Support,Bot,Mid,SB,https://www.youtube.com/live/mplNK2cuJ5Q?feature=share&t=15442
Week 3,Hanwha Life Esports,DRX,02월 01일,1,13.1,Caitlyn,Yuumi,Ashe,Lucian,Varus,Zeri,Elise,Heimerdinger,Maokai,Draven,Kassadin,Ezreal,Karma,Renekton,Pyke,Tristana,Jayce,Soraka,Ornn,Aatrox,Jungle,Bot,Mid,Support,Top,Support,Jungle,Bot,Mid,Top,SB,https://www.youtube.com/live/mplNK2cuJ5Q?feature=share&t=9109
