Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1,RP2,BP2,BP3,RP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,SB,VOD
Week 8,DRX,T1,0 - 2,2,13.4,Lucian,Annie,Caitlyn,Rakan,Varus,Ashe,Sejuani,Jayce,Gragas,Zeri,Lulu,Lee Sin,Ahri,Aphelios,Wukong,Draven,Cho'Gath,Taliyah,Viego,Senna,Top,Bot,Support,Mid,Jungle,Top,Mid,Jungle,Bot,Support,SB,https://www.youtube.com/live/fmzSpTuegpU?feature=share&t=13648
Week 8,T1,DRX,1 - 0,1,13.4,Gragas,Caitlyn,Jayce,Ashe,Rakan,Annie,Lucian,Zeri,Sejuani,Vi,Nami,Lulu,Ahri,Taliyah,LeBlanc,Jax,Renekton,Gnar,Azir,Sylas,Bot,Jungle,Support,Top,Mid,Bot,Jungle,Support,Top,Mid,SB,https://www.youtube.com/live/fmzSpTuegpU?feature=share&t=10913
Week 8,Liiv SANDBOX,Gen.G,0 - 2,2,13.4,Jayce,Annie,Draven,Ashe,Caitlyn,Varus,Lucian,Aphelios,Elise,Nami,Azir,Thresh,Sejuani,Renekton,Gragas,K'Sante,Jax,Sion,Lee Sin,Yone,Bot,Support,Mid,Top,Jungle,Bot,Jungle,Support,Top,Mid,SB,https://www.youtube.com/live/fmzSpTuegpU?feature=share&t=4783
Week 8,Gen.G,Liiv SANDBOX,1 - 0,1,13.4,Lucian,Draven,Caitlyn,Elise,Ashe,Annie,Varus,Zeri,Sejuani,Jayce,Karma,Lulu,Wukong,Irelia,Maokai,Renekton,K'Sante,Vi,Taliyah,Akali,Bot,Top,Support,Jungle,Mid,Bot,Jungle,Support,Top,Mid,SB,https://www.youtube.com/live/fmzSpTuegpU?feature=share&t=1895
Week 8,KT Rolster,Hanwha Life Esports,02월 01일,1,13.4,Lucian,Sejuani,Akali,Annie,Zeri,Ashe,Varus,Elise,Draven,Renekton,Azir,Jayce,Viego,Renata Glasc,Vi,Ornn,Gnar,Leona,Wukong,Braum,Bot,Top,Mid,Support,Jungle,Jungle,Bot,Mid,Top,Support,SB,https://www.youtube.com/live/eJKwuOGEGHE?feature=share&t=22461
Week 8,Hanwha Life Esports,KT Rolster,01월 01일,1,13.4,Sejuani,Elise,Varus,Lucian,Karma,Lee Sin,Annie,Ashe,Viego,Wukong,Jax,Gragas,Nautilus,Taliyah,Blitzcrank,Jayce,Caitlyn,Samira,Jarvan IV,Gangplank,Mid,Jungle,Top,Bot,Support,Support,Jungle,Mid,Bot,Top,SB,https://www.youtube.com/live/eJKwuOGEGHE?feature=share&t=18907
Week 8,KT Rolster,Hanwha Life Esports,1 - 0,1,13.4,Lucian,Sejuani,Akali,Caitlyn,Varus,Ashe,Annie,Zeri,Vi,Viego,Xayah,Lulu,Jax,Gragas,Taliyah,Viktor,Azir,Renekton,Blitzcrank,K'Sante,Mid,Jungle,Bot,Top,Support,Bot,Jungle,Support,Mid,Top,SB,https://www.youtube.com/live/eJKwuOGEGHE?feature=share&t=15433
Week 8,Kwangdong Freecs,Nongshim RedForce,02월 01일,1,13.4,Elise,Ashe,Karma,Annie,K'Sante,Caitlyn,Gragas,Xayah,Wukong,Aphelios,Thresh,Rakan,Fiora,Ahri,Jayce,Azir,Jax,Lee Sin,Taliyah,LeBlanc,Top,Bot,Support,Jungle,Mid,Bot,Jungle,Support,Top,Mid,SB,https://www.youtube.com/live/eJKwuOGEGHE?feature=share&t=9446
Week 8,Nongshim RedForce,Kwangdong Freecs,01월 01일,1,13.4,Ashe,Elise,Sejuani,Karma,Fiora,Caitlyn,Annie,Zeri,Jayce,Xayah,Rakan,Lulu,Vi,Gragas,Lee Sin,Aurelion Sol,Maokai,Wukong,K'Sante,Taliyah,Mid,Bot,Support,Jungle,Top,Bot,Top,Support,Jungle,Mid,SB,https://www.youtube.com/live/eJKwuOGEGHE?feature=share&t=6157
Week 8,Kwangdong Freecs,Nongshim RedForce,1 - 0,1,13.4,Elise,Ashe,Karma,Annie,K'Sante,Caitlyn,Gragas,Zeri,Sejuani,Xayah,Rakan,Lulu,Fiora,Sylas,Jax,Jayce,Wukong,Renekton,Lee Sin,Ahri,Mid,Bot,Support,Top,Jungle,Bot,Top,Support,Jungle,Mid,SB,https://www.youtube.com/live/eJKwuOGEGHE?feature=share&t=2758
Week 7,Gen.G,BRION,2 - 0,1,13.4,Lucian,Elise,Karma,Ashe,Caitlyn,Varus,Annie,Gragas,Jayce,Aphelios,Thresh,Lee Sin,Irelia,Xayah,Renekton,Zeri,Jinx,Viego,Sejuani,Rakan,Mid,Bot,Support,Jungle,Top,Mid,Top,Jungle,Bot,Support,SB,https://www.youtube.com/live/cJDzKsdte1M?feature=share&t=14122
Week 7,BRION,Gen.G,0 - 1,2,13.4,Karma,Lucian,Varus,Ashe,Annie,Caitlyn,Zeri,Jayce,Elise,Gragas,Lulu,K'Sante,Renekton,Xayah,Lee Sin,Aphelios,Draven,Sejuani,Jax,Nautilus,Bot,Mid,Support,Jungle,Top,Top,Jungle,Mid,Bot,Support,SB,https://www.youtube.com/live/cJDzKsdte1M?feature=share&t=11419
